cellId,MCC,MNC,operator,lat,lon,avgRange,radio
100000,466,92,模擬業者 A,25.049826,121.602709,896,LTE
100001,466,1,模擬業者 C,25.048629,121.570897,559,NR
100002,466,99,模擬業者 B,25.056288,121.559848,1589,NR
100003,466,99,模擬業者 B,25.029553,121.529152,1496,LTE+NR
100004,466,99,模擬業者 B,25.018185,121.506786,288,NR
100005,466,1,模擬業者 C,25.03021,121.548379,1358,LTE
100006,466,92,模擬業者 A,24.973943,121.563518,380,LTE
100007,466,1,模擬業者 C,24.982351,121.627278,1395,LTE
100008,466,92,模擬業者 A,24.986706,121.56996,1530,NR
100009,466,92,模擬業者 A,24.998096,121.599796,453,LTE+NR
100010,466,99,模擬業者 B,25.046992,121.547925,922,NR
100011,466,1,模擬業者 C,25.001308,121.523927,441,LTE
100012,466,1,模擬業者 C,25.019764,121.531621,1129,LTE
100013,466,1,模擬業者 C,25.078473,121.540017,1687,NR
100014,466,1,模擬業者 C,25.020531,121.639896,375,LTE+NR
100015,466,1,模擬業者 C,25.058813,121.536651,866,LTE
100016,466,99,模擬業者 B,25.000323,121.594747,1758,LTE
100017,466,92,模擬業者 A,25.02581,121.533798,716,NR
100018,466,1,模擬業者 C,24.999749,121.598005,454,LTE
100019,466,99,模擬業者 B,25.021134,121.578873,1007,LTE+NR
100020,466,99,模擬業者 B,25.062411,121.559918,1037,LTE
100021,466,99,模擬業者 B,24.972544,121.563973,1277,LTE
100022,466,92,模擬業者 A,25.048205,121.542482,736,LTE+NR
100023,466,1,模擬業者 C,25.041321,121.581013,1731,LTE
100024,466,1,模擬業者 C,25.012205,121.549476,1057,LTE
100025,466,99,模擬業者 B,24.982388,121.522504,693,LTE
100026,466,99,模擬業者 B,25.035525,121.520672,1738,LTE
100027,466,1,模擬業者 C,25.014468,121.571441,1683,LTE
100028,466,99,模擬業者 B,25.041144,121.620668,1023,LTE
100029,466,99,模擬業者 B,25.033765,121.571,288,LTE
100030,466,99,模擬業者 B,25.089062,121.561248,1175,LTE
100031,466,92,模擬業者 A,25.024623,121.575404,1110,NR
100032,466,92,模擬業者 A,24.997178,121.61111,479,NR
100033,466,99,模擬業者 B,25.039275,121.573078,1232,LTE
100034,466,1,模擬業者 C,25.0407,121.551018,1553,LTE
100035,466,92,模擬業者 A,25.080572,121.60412,414,NR
100036,466,1,模擬業者 C,25.062229,121.580406,1371,LTE+NR
100037,466,1,模擬業者 C,25.04549,121.619151,467,LTE+NR
100038,466,92,模擬業者 A,25.084216,121.571813,1410,LTE
100039,466,99,模擬業者 B,24.991393,121.522544,899,LTE
100040,466,92,模擬業者 A,25.010609,121.517514,260,LTE
100041,466,1,模擬業者 C,25.00057,121.623182,1747,LTE
100042,466,1,模擬業者 C,25.019357,121.625728,507,NR
100043,466,99,模擬業者 B,24.984816,121.559117,1173,LTE
100044,466,92,模擬業者 A,25.05523,121.551988,531,LTE
100045,466,1,模擬業者 C,25.025222,121.616551,1696,LTE
100046,466,99,模擬業者 B,24.981522,121.526653,1394,NR
100047,466,1,模擬業者 C,24.997455,121.534085,1496,LTE
100048,466,1,模擬業者 C,25.043973,121.587916,919,LTE+NR
100049,466,1,模擬業者 C,25.062334,121.551589,974,LTE
100050,466,1,模擬業者 C,25.102886,121.565221,1233,LTE+NR
100051,466,92,模擬業者 A,25.134985,121.559679,1466,LTE
100052,466,99,模擬業者 B,25.047504,121.577215,1562,LTE+NR
100053,466,99,模擬業者 B,24.998366,121.614662,277,LTE+NR
100054,466,99,模擬業者 B,24.958378,121.56857,1278,LTE+NR
100055,466,92,模擬業者 A,25.04237,121.587938,419,LTE+NR
100056,466,99,模擬業者 B,25.004547,121.493644,696,NR
100057,466,92,模擬業者 A,25.018462,121.563695,1535,NR
100058,466,1,模擬業者 C,25.011577,121.535887,638,NR
100059,466,1,模擬業者 C,25.028072,121.522742,1485,LTE
