cellId,MCC,MNC,operator,lat,lon,avgRange,radio
100000,466,92,模擬業者 A,25.089062,121.565221,394,NR
100001,466,1,模擬業者 C,25.024623,121.559679,1541,LTE
100002,466,99,模擬業者 B,24.997178,121.577215,415,NR
100003,466,99,模擬業者 A,25.039275,121.614662,330,LTE+NR
100004,466,99,模擬業者 C,25.0407,121.56857,876,LTE
100005,466,1,模擬業者 C,25.080572,121.587938,1683,NR
100006,466,92,模擬業者 A,25.062229,121.493644,1318,LTE
100007,466,1,模擬業者 A,25.04549,121.563695,403,NR
100008,466,92,模擬業者 B,25.084216,121.535887,1547,LTE
100009,466,92,模擬業者 A,24.991393,121.522742,1557,LTE+NR
100010,466,99,模擬業者 A,25.010609,121.534665,1491,LTE
100011,466,1,模擬業者 A,25.00057,121.553706,1649,LTE+NR
100012,466,1,模擬業者 C,25.019357,121.597457,621,LTE+NR
100013,466,1,模擬業者 B,24.984816,121.518976,1768,NR
100014,466,1,模擬業者 B,25.05523,121.566472,747,NR
100015,466,1,模擬業者 C,25.025222,121.548454,1493,NR
100016,466,99,模擬業者 B,24.981522,121.553931,1148,LTE+NR
100017,466,92,模擬業者 B,24.997455,121.600497,1458,LTE
100018,466,1,模擬業者 A,25.043973,121.584234,1223,NR
100019,466,99,模擬業者 A,25.062334,121.612209,1245,LTE
100020,466,99,模擬業者 B,25.102886,121.559992,1205,NR
100021,466,99,模擬業者 B,25.134985,121.541042,1457,LTE
100022,466,92,模擬業者 B,25.047504,121.557565,1395,NR
100023,466,1,模擬業者 C,24.998366,121.573887,458,NR
100024,466,1,模擬業者 B,24.958378,121.57158,1530,NR
100025,466,99,模擬業者 B,25.04237,121.527446,1080,NR
100026,466,99,模擬業者 B,25.004547,121.568567,750,NR
100027,466,1,模擬業者 A,25.018462,121.573388,1047,NR
100028,466,99,模擬業者 A,25.011577,121.653512,1748,NR
100029,466,99,模擬業者 A,25.028072,121.63109,1579,NR
100030,466,99,模擬業者 A,25.070309,121.535536,1542,LTE+NR
100031,466,92,模擬業者 A,25.038497,121.555342,967,LTE
100032,466,92,模擬業者 C,25.027448,121.51418,1465,LTE
100033,466,99,模擬業者 A,24.996752,121.544725,846,LTE
100034,466,1,模擬業者 A,24.974386,121.576446,1313,NR
100035,466,92,模擬業者 A,25.015979,121.607605,1241,LTE
100036,466,1,模擬業者 A,25.031118,121.539882,637,NR
100037,466,1,模擬業者 B,25.094878,121.542505,663,NR
100038,466,92,模擬業者 B,25.03756,121.490245,344,LTE
100039,466,99,模擬業者 C,25.067396,121.559707,466,LTE+NR
100040,466,92,模擬業者 B,25.015525,121.528215,922,NR
100041,466,1,模擬業者 A,24.991527,121.54687,990,LTE
100042,466,1,模擬業者 C,24.999221,121.53471,505,LTE
100043,466,99,模擬業者 A,25.007617,121.562101,896,LTE
100044,466,92,模擬業者 A,25.107496,121.50388,1186,LTE
100045,466,1,模擬業者 A,25.004251,121.514053,610,LTE
100046,466,99,模擬業者 B,25.062347,121.639924,774,LTE+NR
100047,466,1,模擬業者 B,25.001398,121.52034,819,LTE
100048,466,1,模擬業者 A,25.065605,121.527013,1032,LTE
100049,466,1,模擬業者 B,25.046473,121.629692,817,NR
100050,466,1,模擬業者 A,25.027518,121.667077,1392,NR
100051,466,92,模擬業者 B,25.031573,121.524395,757,LTE+NR
100052,466,99,模擬業者 A,25.010082,121.552511,922,NR
100053,466,99,模擬業者 A,25.048613,121.577354,838,NR
100054,466,99,模擬業者 A,25.017076,121.625904,533,LTE
100055,466,92,模擬業者 B,24.990104,121.53086,1312,LTE+NR
100056,466,99,模擬業者 A,24.988272,121.556815,614,NR
100057,466,92,模擬業者 A,25.039041,121.592607,710,LTE+NR
100058,466,1,模擬業者 A,25.088268,121.580617,1478,LTE
100059,466,1,模擬業者 C,25.0386,121.552235,1720,LTE+NR
100060,466,1,模擬業者 C,25.028848,121.560716,1289,NR
100061,466,1,模擬業者 B,25.043004,121.517279,1670,LTE
100062,466,99,模擬業者 A,25.07871,121.557064,1573,NR
100063,466,1,模擬業者 C,25.040678,121.556076,995,NR
100064,466,99,模擬業者 C,25.018618,121.573526,1443,LTE
100065,466,92,模擬業者 B,25.07172,121.545964,758,NR
100066,466,1,模擬業者 A,25.048006,121.581904,963,LTE+NR
100067,466,99,模擬業者 A,25.086751,121.600845,1079,LTE
100068,466,92,模擬業者 A,25.039413,121.57084,1738,NR
100069,466,99,模擬業者 C,24.990144,121.577711,1565,LTE
100070,466,1,模擬業者 B,24.985114,121.56726,1008,LTE
100071,466,92,模擬業者 A,25.090782,121.565403,1261,LTE+NR
100072,466,99,模擬業者 A,25.093328,121.540145,563,NR
100073,466,92,模擬業者 B,25.026717,121.576477,1496,LTE
100074,466,1,模擬業者 A,25.019588,121.561995,1107,LTE+NR
100075,466,99,模擬業者 C,25.084151,121.638661,1075,LTE+NR
100076,466,92,模擬業者 C,24.994253,121.620467,1437,LTE
100077,466,92,模擬業者 B,25.001685,121.578905,1231,LTE+NR
100078,466,99,模擬業者 A,25.055516,121.538693,362,LTE
100079,466,1,模擬業者 B,25.019189,121.526466,696,LTE+NR
